;Index;Sex;Country;Code;Year;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 84;85 - 89;90 - 94;95 - 99;100+
0;75,0;m;Japan;392,0;2010,0;3654,9315587630854;3015,1123353731614;3110,35079233049;3082,3208466791702;3376,432183526162;3864,4008649571183;4414,150801879786;5044,923567144409;4429,330633002905;4053,5084471284235;3828,9823361397016;4290,548861806167;4879,246863256272;3840,9743785037263;3117,7735114658403;2507,152841921705;1636,343790879442;702,2437390388975;232,96745474459138;54,51977360953895;9,000369172601566
1;75,0;f;Japan;392,0;2010,0;3282,1187619982834;2858,28132496453;2949,506419480915;2940,63260641817;3226,5151193914535;3705,006811313315;4223,33469527152;4884,47128588821;4342,1549589569;3992,5758915625615;3824,221733758472;4369,14197314401;5087,3210353744425;4237,30919056023;3677,331194539683;3284,8616322202465;2538,1358203707773;1602,844312968655;747,642620796572;258,2925646054299;58,89049238858924
2;75,0;m;Japan;392,0;2015,0;3421,7797463492984;3655,4605628502813;3015,902385852213;3119,8153863153057;3095,039669715981;3385,0550012589138;3865,1756265848026;4406,473697523528;5022,098064240355;4389,364002741521;3986,6342350346717;3725,5713285115016;4112,21539603561;4558,140157580619;3440,923615206789;2607,0494848392095;1850,2420884676264;978,4732896570935;304,28762351314145;62,95018482150605;12,61110484946057
3;75,0;f;Japan;392,0;2015,0;3072,7490581846864;3283,8332700578853;2860,05332217833;2962,3866103540545;2959,534573413748;3241,604793736775;3712,8686207730148;4225,630093081957;4877,636950476292;4325,319727912102;3962,449688719467;3778,7484715390606;4292,681902440436;4945,5721511775855;4043,4166160500104;3385,7559866644315;2813,296958507529;1897,488662708975;945,6899977325675;311,10630835361326;87,08707180601192
4;75,0;m;Japan;392,0;2020,0;3016,5058955185104;3422,275004726152;3656,4184039014926;3025,0795795148415;3132,688926021211;3102,943860144507;3385,733660335501;3858,453301505216;4386,5368289385415;4976,782789066636;4316,948892941032;3878,9654533328353;3570,7207328445434;3841,587576649473;4083,394098492118;2877,264209669393;1923,964348288418;1106,3765897213664;423,9800163805389;82,22162258693695;14,561164299076179
5;75,0;f;Japan;392,0;2020,0;2708,8142243381185;3074,354196026251;3285,8690890496346;2872,5428805850197;2981,4284089843363;2973,375640718263;3248,4832910054406;3714,8865784101645;4219,717605999424;4858,725569885297;4292,682787995772;3915,3327780717996;3712,6202987580346;4173,074182453449;4719,270582494776;3722,814533185781;2899,707228487928;2103,196779604119;1119,5323429830298;393,51705729142526;104,89398893956717
6;75,0;m;Japan;392,0;2025,0;2755,922574758184;3016,942495745389;3423,1717441196433;3667,5446459050854;3037,5622034070207;3140,6892660707717;3103,56595964187;3379,845182166196;3840,9959236348677;4346,956334706781;4894,676526770242;4200,359158200039;3717,7391451896146;3335,7290622967926;3441,472946645267;3414,491284154969;2123,378858821923;1150,459784518125;479,40150190251956;114,56372917427738;19,01888864694803
7;75,0;f;Japan;392,0;2025,0;2474,811099414836;2710,229250471044;3076,260148047842;3300,218141071212;2891,007176534026;2995,3718687577243;2979,6849712890084;3250,2488535221323;3709,6887218954917;4203,357084204996;4822,063786602323;4241,63912378558;3846,814377232568;3609,1749330859584;3982,1209004365073;4345,0801089378465;3188,378682550533;2167,796359466428;1240,9016531687682;465,8556971201481;132,67996420098427
8;75,0;m;Japan;392,0;2030,0;2584,8560617481603;2756,3214589185586;3017,7330257817234;3433,5882317962987;3682,6783239519787;3045,319606431334;3141,3189330263654;3098,168228386619;3364,5532426563063;3806,337941055833;4275,240860647415;4762,483848086404;4025,7743602430746;3473,072088381476;2988,301345779856;2877,723554852237;2519,8445738980154;1269,7023136337277;498,5030899066093;129,5391804042183;26,500022008698043
9;75,0;f;Japan;392,0;2030,0;2321,19382837356;2476,1038873617767;2711,909462505684;3089,693859403948;3321,4314725987842;2904,527756853548;3001,7278740479737;2981,3044409385598;3245,7011165129397;3695,3056638683793;4171,64042018157;4764,725330238447;4167,410355460544;3739,629939314545;3444,024789878858;3666,3789484868953;3721,3137183754593;2383,6046731647434;1279,0158830033324;516,3594498343524;157,0699822827544
